time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Social Studies,GCSE,20353,19913,14255,10707,z,z,z,z,98,70,53,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Social Studies,GCSE,35271,34888,28909,24066,z,z,z,z,99,82,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Social Studies,GCSE,55624,54801,43164,34773,z,z,z,z,99,78,63,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Spanish,GCSE,46310,45926,36180,28100,z,z,z,z,99,78,61,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Spanish,GCSE,63372,63004,54934,45635,z,z,z,z,99,87,72,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Spanish,GCSE,109682,108930,91114,73735,z,z,z,z,99,83,67,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Statistics,GCSE,11676,11534,9478,7529,z,z,z,z,99,81,64,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Statistics,GCSE,8827,8744,7297,5668,z,z,z,z,99,83,64,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Statistics,GCSE,20503,20278,16775,13197,z,z,z,z,99,82,64,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Ancient History,GCSE,444,429,362,313,z,z,z,z,97,82,70,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Ancient History,GCSE,438,430,358,309,z,z,z,z,98,82,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Ancient History,GCSE,882,859,720,622,z,z,z,z,97,82,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Any classical study,GCSE,2118,2113,1988,1858,z,z,z,z,100,94,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Any classical study,GCSE,2905,2891,2777,2634,z,z,z,z,100,96,91,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Any classical study,GCSE,5023,5004,4765,4492,z,z,z,z,100,95,89,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Any design & technology,GCSE,70847,69767,50171,36414,z,z,z,z,98,71,51,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Any design & technology,GCSE,48300,47834,40597,33814,z,z,z,z,99,84,70,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Any design & technology,GCSE,119147,117601,90768,70228,z,z,z,z,99,76,59,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Any modern language,GCSE,112567,111664,88195,67847,z,z,z,z,99,78,60,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Any modern language,GCSE,145601,144814,125569,103508,z,z,z,z,99,86,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Any modern language,GCSE,258168,256478,213764,171355,z,z,z,z,99,83,66,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Any science,GCSE,281659,278763,200689,150108,z,z,z,z,99,71,53,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Any science,GCSE,275634,273564,206405,158179,z,z,z,z,99,75,57,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Any science,GCSE,557293,552327,407094,308287,z,z,z,z,99,73,55,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Any subject,GCSE,285965,284566,255227,217987,z,z,z,z,100,89,76,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Any subject,GCSE,278230,277402,261801,238206,z,z,z,z,100,94,86,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Any subject,GCSE,564195,561968,517028,456193,z,z,z,z,100,92,81,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Art and Design,GCSE,59453,58836,44060,29924,z,z,z,z,99,74,50,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Art and Design,GCSE,111924,111206,100336,84874,z,z,z,z,99,90,76,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S2,All state-funded,Total,Total,Art and Design,GCSE,171377,170042,144396,114798,z,z,z,z,99,84,67,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S2,All state-funded,Total,Total,Biblical Hebrew,GCSE,47,47,47,44,z,z,z,z,100,100,94,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S2,All state-funded,Total,Total,Biblical Hebrew,GCSE,166,166,162,150,z,z,z,z,100,98,90,z,z,z,z
